report,part failure
"THE FLIGHT CREW REPORTED THAT DURING LANDING THE LEFT THRUST REVERSER DID NOT DEPLOY, NO TR LIGHTS ON LEFT SIDE. THE MAINTENANCE TEAM TROUBLESHOT AND FOUND LEFT HAND MAIN LANDING GEAR WEIGHT-ON-WHEELS LOCKING CLIP FOR ROLLER WAS MISSING. THE MISSING KEEPER CLIP WAS REPLACED WITH NEW. OPERATIONAL CHECKS WERE SATISFACTORY AND THE AIRCRAFT WAS RETURNED TO SERVICE.",THRUST REVERSER MISSING
THE FLIGHT CREW REPORTED THAT A PITCH FEEL FAIL AMBER CAS MESSAGE WAS DISPLAYED DURING FLIGHT. THEY REPORTED THAT THE MESSAGE WAS ILLUMINATED THROUGH AIRCRAFT SHUTDOWN. THE MAINTENANCE VENDOR TROUBLESHOT AND DETERMINED THE LEFT PITCH FEEL ACTUATOR WAS DEFECTIVE. THE DEFECTIVE ACTUATOR WAS REMOVED AND A OVERHAULED UNIT WAS INSTALLED. FUNCTIONAL CHECKS WERE SATISFACTORY. THE AIRCRAFT WAS THEN RETURNED TO SERVICE.,PITCH FEEL DEFECTIVE
THE FLIGHT CREW REPORTED THAT DURING FLIGHT WHILE PRESSURIZED 7.5 PSI A LOUD UNIDENTIFIED NOISE IS IN THE CABIN. THE MAINTENANCE VENDOR PERFORMED GROUND PRESSURIZATION RUN AND FOUND AIR LEAKING FROM UPPER ADF ANTENNA. A NEW GASKET WAS INSTALLED. LEAK CHECKS SATISFACTORY. THE AIRCRAFT WAS THEN RETURNED TO SERVICE.,ANTENNA LEAKING
"THE FLIGHT CREW REPORTED A WHITE ""FUEL QUANTITY FAULT"" MESSAGE ON THE EICAS. THE MAINTENANCE TEAM TROUBLESHOT AND DETERMINED THAT THE FUEL SIGNAL CONDITIONER WAS DEFECTIVE. THE DEFECTIVE UNIT WAS REMOVED AND AN OVERHAULED UNIT WAS INSTALLED. OPERATIONAL CHECKS WERE SATISFACTORY AND THE AIRCRAFT WAS RETURNED TO SERVICE",FUEL QTY DEFECTIVE
THE FLIGHT CREW REPORTED THAT THE CABIN DOOR ANNUNCIATOR LIGHT ILLUMINATED JUST AFTER TAKEOFF. THE CREW RAN THE CHECKLIST AND ELECTED TO RETURN BACK TO THE AIRPORT FOR LAND AND INVESTIGATION. THE MAINTENANCE TECH DETERMINED THE DOOR LOCKING MECHANISM REQUIRED CLEANING AND LUBRICATION. GRIT AND DEBRIS WAS DETERMINED TO BE GUMMING UP THE SWITCH. OPERATIONAL CHECKS WERE SATISFACTORY AND THE AIRCRAFT WAS RETURN TO SERVICE.,PAX DOOR DIRTY
"THE FLIGHT CREW REPORTED THAT THE RIGHT HYDRAULIC QUANTITY DECREASED 1% PER 15 MINUTES. NORMAL 98% AFTER SHUTDOWN. A ""LOW HYDRAULIC QUANTITY"" REFILL EICAS MESSAGE. THE MAINTENANCE VENDOR SERVICED THE LEFT AND RIGHT HYDRAULIC SYSTEM AS PER THE AMM. NO SERVICING REQUIRED, VERIFIED SERVICING WITH ALL ACCUMULATORS AND RESERVOIR PRESSURES BLEED DOWN. VERIFIED SIGHT GLASS QUANTITY, VERIFIED NO LEAKS OR DEFECTS NOTED ON LEFT AND RIGHT SYSTEMS. RAN ENGINES AND APPLIED SYSTEM PRESSURE. EXERCISING HYDRAULIC SYSTEMS ON AIRCRAFT. RECHECKED QUANTITIES, NO FAULTS FOUND. THE AIRCRAFT WAS RETURNED TO SERVICE.",RIGHT FALSE INDICATION
THE FLIGHT CREW REPORTED THAT THE EMERGENCY BATTERY WOULD NOT DISCONNECT WHEN SELECTED OFF. THE MAINTENANCE VENDOR TROUBLESHOT AND SUSPECTED THE RIGHT GENERATOR MASTER SWITCH P/N MS24524-23 TO BE DEFECTIVE. THE DEFECTIVE MASTER SWITCH WAS REMOVED AND INSTALLED A NEW SWITCH.,RT GENERATOR DEFECTIVE
"FLIGHT CREW REPORTED THAT THE BATTERY FEED TEST DID NOT TEST CORRECTLY DURING PREFLIGHT CHECKS, FLIGHT WAS CANCELLED. THE MAINTENANCE VENDOR TROUBLESHOT AND FOUND A FAULTY BATTERY FEEDER PROTECTOR UNIT P/N 50284-003 S/N 98054. THE UNIT WAS REMOVED AND A NEW UNIT WAS REMOVED AND A NEW UNIT WAS INSTALLED. OPERATIONAL CHECKS WERE SATISFACTORY. THE AIRCRAFT WAS THEN RETURN TO SERVICE.",BATTERY FAULTY
THE FLIGHT CREW REPORTED AFTER LANDING AND DEPLOYING THE TRUST REVERSERS THE RIGHT HAND AMBER REV ANNUNCIATOR ABOVE RIGHT N1 ILLUMINATOR ON LANDING. THE MAINTENANCE VENDOR TROUBLESHOT THE RIGHT T/R FOR HAVING AMBER REV UPON LANDING BY SWAPPING THE LH AND RH TIME DELAY RELAYS AND VERIFIED THAT THE LH TIME DELAY RELAY WAS DEFECTIVE. REMOVED THE DEFECTIVE LH (K247) TIME DELAY RELAY AND INSTALLED A NEW RELAY. PERFORMED SATISFACTORY OPERATIONAL CHECKS WITH NO DEFECTS. THE AIRCRAFT THEN WAS RETURNED TO SERVICE.,THRUST REVERSER DEFECTIVE
"THE FLIGHT CREW REPORTED THAT THE CABIN AND COCKPIT AIR FROM HEAT EXCHANGER / TEMPERATURE MODULATING VALVES WAS FAR TOO HOT. THE CREW STATED THEY WERE UNABLE TO LOWER IN EITHER ""AUTO"" OR ""MANUAL"" MODES. CLAIMING THE CABIN TEMPERATURE REACHED 90 DEGREES F AND THE AIR DUCT REACHED 220 DEGREES F. THE MAINTENANCE VENDOR INSPECTED AND FOUND THE RAM AIR VALVE CRACKED AND BROKEN THE BROKEN VALVE DIDN'T ALLOW AIR TO FLOW OVER THE HEAT EXCHANGERS SO BLEED AIR WASN'T ABLE TO BE COOLED. THE MX VENDOR REMOVED THE BROKEN VALVE AND INSTALLED A REPAIRED VALVE. OPERATIONAL CHECKS SATISFACTORY AND THE AIRCRAFT WAS RETURNED TO SERVICE",CBN/CKPT AIR BROKEN
"THE FLIGHT CREW REPORTED AT 34,000 FT CABIN BLEED VALVE DOES NOT SUPPLY ANY BLEED AIR TO THE AIRCRAFT. THE MAINTENANCE VENDOR PERFORMED GVI OF BLEED AIR LINES AND FOUND THE CABIN COLD AIR OUTLET DUCT DISCONNECTED. RESECURED DUCT TO SLEEVE AND PERFORMED OPERATIONAL TEST OF THE AIR CONDITIONING TEMPERATURE CONTROL SYSTEM WITH NO FAULTS OR LEAKS NOTED. THE AIRCRAFT WAS THEN RETURNED TO SERVICE.",COLD AIR OUTLET DISCONNECTED
"THE FLIGHT CREW REPORTED THE APU BOTTLE LO CAUTION MESSAGE ILLUMINATED, THE MAINTENANCE DISCREPANCY WAS DEFERRED. THE MAINTENANCE TEAM COULD NOT DETERMINE THE CAUSE OF THE LOW BOTTLE PRESSURE. THE APU FIRE BOTTLE WAS REMOVED AND AN OVERHAULED UNIT WAS INSTALLED. THE AIRCRAFT WAS RETURNED TO SERVICE. DEFECTIVE BOTTLE HAD BEEN IN SERVICE 4 OF 5 YEARS",APU BAY LOW PRESSURE
THE FLIGHT CREW REPORTED THAT AFTER TAKEOFF AND GEAR RETRACTION THAT THE RIGHT MAIN GEAR DOOR INDICATOR SHOWED UNSAFE. THE CREW JAM THE CHECKLIST AND OPTED TO CONTINUE THE FLIGHT WITH RESTRICTIONS.  THE FLIGHT COMPLETED THE FLIGHT AND LANDED WITHOUT INCIDENT. THE MAINTENANCE TEAM TROUBLESHOT AND DETERMINED A DEFECTIVE GEAR DOOR UNLATCH SWITCH. THE DEFECTIVE SWITCH WAS REMOVED AND A NEW SWITCH WAS INSTALLED AND RIGGED. (P/N 1EN1-8) FUNCTIONAL CHECKS WERE SATISFACTORY AND THE AIRCRAFT WAS RETURNED TO SERVICE.,RT MLG DEFECTIVE
THE FLIGHT CREW REPORTED RECEIVING AN AUTO-PILOT AND YAW DAMPENER FAIL MESSAGE; NEITHER WOULD ENGAGE. THE MAINTENANCE VENDOR TROUBLESHOT DETERMINED THE ELEVATOR ACTUATOR SERVO WAS DEFECTIVE. THE DEFECTIVE SERVO ACTUATOR AND INSTALLED AN OVERHAULED UNIT. FUNCTIONAL CHECKS WERE SATISFACTORY AND THE AIRCRAFT WAS RETURNED TO SERVICE.,ELEVATOR FAILED
THE FLIGHT CREW REPORTED THAT THE CABIN BLEED VALVE DID NOT OPEN AFTER TAKEOFF. INOPERATIVE IN THE AUTO POSITION. OPERATIONS WERE CONTINUED BY MEL. THE MAINTENANCE VENDOR DETERMINED RELAY 15H1 DEFECTIVE. THE DEFECTIVE RELAY WAS REMOVED AND A NEW RELAY WAS INSTALLED (E210-143B) OPERATIONAL CHECKS WERE SATISFACTORY. THE MEL WAS CLEARED AND THE AIRCRAFT WAS RETURNED TO SERVICE.,CABIN VALVE DEFECTIVE
"THE FLIGHT CREW REPORTED THAT THE CABIN ENTRY STEPS SIDE SUPPORT BRACKET (PART THAT SUPPORTS STAIRS UNDER/AGAINST FUSELAGE) IS RUBBING ALONG BODY, SCRATCHING PAINT AND NOT ALIGNING WITH SUPPORT STOP. THE MAINTENANCE TEAM DETERMINED THAT THE SIDE STAY SUPPORT HAD CRACKED AND FAILED. A NEW SUPPORT WAS INSTALLED AND ADJUSTED. THE AIRCRAFT WAS THEN RETURNED TO SERVICE.",ENTRY STEPS CRACKED
"THE FLIGHT CREW REPORTED THAT IN-FLIGHT THE RIGHT ELECTRONIC FUEL CONTROL (EFC) ANNUNCIATOR ILLUMINATED. THEY RESET IT PER THE CHECKLIST, BUT WOULD NOT RESET. RIGHT N1 HAD ASSOCIATED DROP. THE MAINTENANCE VENDOR TROUBLESHOT AND FOUND THE RIGHT ENGINE T-O PROBE RESISTANCE INTERMITTENT WHEN MOVING CONNECTOR. ACCESSED WIRING TO CANNON PLUG AND FOUND BROKEN WIRE ON PIN A. RE-SOLDERED WIRE INTO PIN A ON T-O CONNECTOR AND RE-SECURED CANNON PLUG AS REQUIRED. OPERATIONAL CHECKS WERE SATISFACTORY AN THE AIRCRAFT WAS RETURNED TO SERVICE.",EFC BROKEN
THE FLIGHT CREW REPORTED THAT DURING TWO TAKEOFF ATTEMPTS THE LEFT EEC FAILED WHEN THE THROTTLES WERE ADVANCED FOR TAKEOFF. THE MAINTENANCE VENDOR DETERMINED BOV/LVDT FAULTY. THE MX VENDOR REMOVED AND REPLACED THE UNIT WITH AN OVERHAULED UNIT.,APU FAULTED
